iter	Passed	Remaining
0	5	11640
1	10	10964
2	16	10727
3	20	10341
4	25	10086
5	30	10022
6	35	10075
7	41	10305
8	45	10138
9	50	10045
10	55	9957
11	60	10006
12	66	10088
13	70	10033
14	75	9950
15	81	10121
16	88	10287
17	93	10318
18	99	10357
19	103	10207
20	108	10178
21	113	10214
22	117	10128
23	121	10017
24	126	9976
25	130	9873
26	134	9804
27	139	9826
28	143	9778
29	148	9736
30	152	9687
31	156	9640
32	160	9594
33	165	9568
34	169	9539
35	174	9493
36	177	9431
37	182	9405
38	186	9366
39	191	9375
40	195	9350
41	201	9379
42	205	9369
43	210	9369
44	215	9348
45	219	9310
46	223	9278
47	227	9246
48	231	9205
49	235	9166
50	238	9132
51	243	9119
52	247	9095
53	251	9062
54	255	9040
55	260	9033
56	264	9004
57	268	8999
58	273	8986
59	276	8951
60	281	8941
61	285	8936
62	291	8955
63	295	8941
64	299	8925
65	303	8903
66	307	8879
67	311	8856
68	315	8833
69	320	8824
70	324	8810
71	329	8817
72	333	8808
73	338	8800
74	342	8783
75	347	8806
76	352	8801
77	357	8805
78	361	8800
79	366	8790
80	371	8791
81	375	8774
82	379	8757
83	383	8736
84	387	8733
85	392	8731
86	397	8742
87	401	8726
88	405	8702
89	409	8688
90	413	8681
91	417	8664
92	422	8660
93	427	8660
94	431	8643
95	435	8640
96	439	8624
97	444	8621
98	448	8606
99	452	8595
100	456	8584
101	461	8587
102	465	8564
103	469	8560
104	474	8555
105	479	8561
106	483	8551
107	487	8547
108	492	8538
109	497	8547
110	501	8542
111	506	8534
112	512	8557
113	517	8553
114	521	8546
115	525	8536
116	531	8552
117	536	8551
118	540	8536
119	544	8529
120	548	8521
121	552	8512
122	556	8494
123	561	8499
124	566	8492
125	569	8476
126	574	8466
127	578	8455
128	582	8444
129	586	8431
130	589	8415
131	594	8413
132	598	8404
133	603	8397
134	607	8392
135	611	8377
136	615	8368
137	619	8358
138	623	8349
139	627	8336
140	631	8321
141	635	8311
142	639	8300
143	643	8290
144	647	8283
145	651	8273
146	655	8265
147	660	8270
148	665	8265
149	670	8264
150	674	8257
151	678	8247
152	682	8236
153	686	8227
154	690	8215
155	694	8204
156	699	8206
157	702	8194
158	707	8189
159	712	8193
160	716	8183
161	720	8174
162	724	8167
163	728	8160
164	733	8159
165	737	8150
166	742	8146
167	745	8134
168	750	8129
169	755	8128
170	759	8118
171	763	8109
172	767	8102
173	771	8095
174	775	8084
175	779	8078
176	783	8068
177	787	8061
178	791	8055
179	795	8046
180	799	8035
181	803	8026
182	808	8022
183	811	8013
184	816	8008
185	820	8000
186	824	7990
187	828	7985
188	832	7977
189	836	7969
190	840	7958
191	844	7950
192	848	7942
193	851	7931
194	855	7920
195	859	7910
196	863	7899
197	868	7904
198	872	7894
199	876	7887
200	880	7877
201	883	7868
202	887	7860
203	891	7852
204	896	7845
205	899	7835
206	903	7826
207	907	7815
208	910	7805
209	914	7795
210	918	7788
211	922	7778
212	926	7771
213	929	7761
214	933	7750
215	937	7741
216	941	7734
217	945	7725
218	948	7715
219	952	7707
220	956	7699
221	960	7693
222	964	7687
223	968	7681
224	972	7673
225	976	7665
226	980	7656
227	983	7647
228	987	7640
229	991	7630
230	995	7621
231	999	7614
232	1002	7605
233	1006	7595
234	1010	7589
235	1015	7588
236	1019	7581
237	1022	7571
238	1026	7562
239	1029	7553
240	1033	7543
241	1037	7536
242	1041	7528
243	1045	7520
244	1049	7514
245	1053	7512
246	1057	7505
247	1061	7501
248	1065	7495
249	1069	7489
250	1074	7488
251	1078	7480
252	1082	7474
253	1086	7469
254	1090	7463
255	1094	7458
256	1098	7450
257	1102	7444
258	1107	7441
259	1111	7437
260	1116	7436
261	1120	7434
262	1124	7427
263	1129	7424
264	1132	7417
265	1137	7412
266	1142	7412
267	1145	7404
268	1149	7397
269	1153	7390
270	1157	7385
271	1161	7378
272	1165	7370
273	1169	7365
274	1173	7360
275	1177	7353
276	1181	7349
277	1185	7343
278	1189	7336
279	1192	7327
280	1196	7320
281	1200	7312
282	1204	7307
283	1208	7304
284	1213	7299
285	1216	7293
286	1220	7285
287	1224	7278
288	1228	7274
289	1232	7266
290	1236	7262
291	1240	7256
292	1244	7251
293	1248	7246
294	1252	7240
295	1256	7235
296	1260	7227
297	1264	7222
298	1268	7214
299	1272	7208
300	1276	7203
301	1279	7196
302	1284	7194
303	1288	7188
304	1292	7181
305	1296	7175
306	1299	7168
307	1305	7169
308	1309	7163
309	1312	7156
310	1316	7150
311	1320	7143
312	1324	7137
313	1327	7130
314	1331	7122
315	1336	7123
316	1341	7120
317	1344	7114
318	1349	7110
319	1353	7104
320	1357	7098
321	1361	7093
322	1365	7088
323	1368	7081
324	1372	7074
325	1376	7068
326	1380	7064
327	1384	7058
328	1388	7051
329	1392	7045
330	1395	7038
331	1399	7032
332	1403	7027
333	1407	7021
334	1411	7015
335	1415	7010
336	1419	7002
337	1422	6996
338	1426	6989
339	1430	6982
340	1434	6978
341	1438	6971
342	1441	6965
343	1445	6958
344	1449	6951
345	1453	6950
346	1457	6942
347	1461	6936
348	1464	6928
349	1468	6922
350	1472	6916
351	1476	6911
352	1480	6908
353	1484	6903
354	1488	6899
355	1493	6897
356	1497	6893
357	1502	6891
358	1506	6887
359	1510	6883
360	1514	6877
361	1518	6872
362	1522	6868
363	1526	6861
364	1530	6855
365	1534	6849
366	1537	6842
367	1541	6836
368	1545	6831
369	1549	6825
370	1553	6819
371	1557	6816
372	1561	6810
373	1565	6804
374	1569	6799
375	1573	6794
376	1576	6787
377	1580	6781
378	1584	6775
379	1589	6774
380	1593	6772
381	1597	6767
382	1602	6764
383	1606	6758
384	1610	6754
385	1613	6748
386	1618	6744
387	1621	6738
388	1625	6732
389	1629	6727
390	1633	6721
391	1638	6719
392	1642	6714
393	1645	6709
394	1650	6705
395	1653	6698
